,Open,Max,Min,Close,Volume,Margin,Date
0,357.0,364.98,356.0,362.06,627500.0,720.02,2015-01-01
1,363.0,369.88,363.0,367.85,1232500.0,731.865,2015-01-02
2,365.7,365.9,360.0,363.37,1228400.0,727.4849999999999,2015-01-05
3,361.0,362.48,356.1,356.84,1509000.0,718.21,2015-01-06
4,356.45,359.9,351.29,352.39,1524900.0,710.0149999999999,2015-01-07
5,355.51,357.5,351.9,352.91,1413300.0,708.9100000000001,2015-01-08
6,355.01,361.99,353.88,355.0,2693100.0,712.9399999999999,2015-01-09
7,355.01,359.2,353.0,353.94,1491100.0,710.575,2015-01-12
8,354.0,354.0,344.0,346.21,1379600.0,699.105,2015-01-13
9,347.0,350.0,340.5,342.17,1587100.0,689.835,2015-01-14
10,349.0,353.18,346.51,347.54,2249400.0,698.115,2015-01-15
11,352.01,357.35,348.5,355.33,3665300.0,706.595,2015-01-16
12,360.0,373.09,359.94,372.06,5775900.0,732.545,2015-01-19
13,374.0,386.0,365.6,380.35,6566200.0,752.975,2015-01-20
14,382.0,388.75,380.0,381.26,5211600.0,766.005,2015-01-21
15,383.0,384.0,374.0,375.48,2959000.0,758.24,2015-01-22
16,375.9,379.99,375.01,376.27,1698400.0,753.5849999999999,2015-01-23
17,382.49,384.99,378.21,383.03,2862200.0,764.36,2015-01-26
18,385.6,392.5,383.1,384.41,3459000.0,772.8050000000001,2015-01-27
19,385.0,385.5,378.0,379.0,959400.0,763.75,2015-01-28
20,378.6,385.0,377.2,381.16,1357100.0,760.98,2015-01-29
21,382.0,384.0,374.75,375.62,2125900.0,758.185,2015-01-30
22,379.5,390.79,379.5,389.05,2725000.0,769.42,2015-02-02
23,395.0,401.94,394.1,400.31,5921000.0,795.675,2015-02-03
24,406.1,415.4,404.0,404.98,6143900.0,815.24,2015-02-04
25,404.0,410.9,403.8,408.05,1896200.0,813.375,2015-02-06
26,411.25,411.25,404.12,405.51,1486900.0,816.065,2015-02-09
27,406.1,408.5,396.6,400.71,1635000.0,805.9549999999999,2015-02-10
28,402.5,403.0,392.3,394.02,1115600.0,795.91,2015-02-11
29,392.25,394.0,376.0,388.45,1342400.0,775.35,2015-02-12
30,391.0,406.0,388.75,400.83,3105400.0,793.29,2015-02-13
31,403.5,405.5,400.0,401.21,1891500.0,805.105,2015-02-16
32,403.0,406.4,397.0,400.03,1179300.0,803.2149999999999,2015-02-17
33,402.5,403.8,395.2,396.72,445800.0,799.11,2015-02-18
34,396.15,403.48,391.99,400.37,1921600.0,795.995,2015-02-19
35,403.49,408.0,401.3,403.36,2507100.0,808.075,2015-02-20
36,404.0,406.9,400.5,401.52,1198800.0,806.46,2015-02-23
37,400.0,400.0,394.1,395.4,1761900.0,794.75,2015-02-24
38,395.0,395.9,389.0,389.94,765400.0,784.9200000000001,2015-02-25
39,393.47,395.0,385.02,388.03,1422900.0,780.76,2015-02-26
40,388.9,392.89,382.51,383.25,1601900.0,773.7749999999999,2015-02-27
41,386.0,389.44,377.0,378.65,1203200.0,765.5450000000001,2015-03-02
42,379.01,383.35,368.55,381.08,2173900.0,755.9949999999999,2015-03-03
43,381.5,386.7,378.2,380.98,1051800.0,763.69,2015-03-04
44,382.89,392.0,381.01,390.55,1536600.0,773.225,2015-03-05
45,393.5,397.0,390.55,394.35,1099000.0,787.7,2015-03-06
46,393.01,394.48,385.4,386.84,780500.0,779.865,2015-03-09
47,387.0,390.0,382.5,386.41,670200.0,772.955,2015-03-10
48,387.0,388.96,381.01,386.81,757200.0,771.89,2015-03-11
49,387.0,389.89,383.1,385.01,341900.0,772.5,2015-03-12
50,386.66,390.5,386.1,387.85,380700.0,775.5550000000001,2015-03-13
51,384.5,385.0,379.69,380.13,231400.0,764.66,2015-03-16
52,382.0,382.0,372.3,375.16,629200.0,755.73,2015-03-17
53,375.0,375.0,356.41,364.82,1597600.0,735.615,2015-03-18
54,364.0,370.97,364.0,367.48,367300.0,733.225,2015-03-19
55,368.0,374.0,366.01,370.19,368600.0,739.1,2015-03-20
56,375.0,375.0,360.1,362.23,578100.0,736.165,2015-03-24
57,364.99,367.5,356.1,357.43,645500.0,723.01,2015-03-25
58,365.0,367.3,342.5,353.98,941900.0,714.39,2015-03-26
59,354.99,358.5,342.0,345.26,963000.0,700.375,2015-03-27
60,345.0,345.0,328.0,328.0,716800.0,673.0,2015-03-30
61,329.0,344.4,329.0,344.4,1435800.0,673.4,2015-03-31
62,342.5,355.0,337.0,349.45,2462800.0,691.975,2015-04-01
63,350.99,358.89,348.5,356.95,1276700.0,707.665,2015-04-02
64,357.5,359.5,348.0,349.63,949200.0,707.315,2015-04-03
65,351.0,365.4,349.6,363.15,2285100.0,714.575,2015-04-06
66,366.0,368.0,359.05,362.52,1505700.0,727.785,2015-04-07
67,365.0,380.0,365.0,378.3,3300500.0,744.15,2015-04-08
68,375.98,376.0,369.05,370.81,1291700.0,745.92,2015-04-09
69,372.0,375.99,368.55,369.56,717300.0,743.05,2015-04-10
70,371.8,374.2,365.15,369.8,802200.0,740.475,2015-04-13
71,371.49,373.44,366.0,368.46,863300.0,739.695,2015-04-14
72,373.5,375.0,371.15,371.72,864600.0,745.685,2015-04-15
73,376.7,378.44,374.01,376.7,1422800.0,752.925,2015-04-16
74,377.4,382.25,375.0,380.31,2021100.0,757.48,2015-04-17
75,383.44,384.88,375.0,378.47,1192900.0,760.895,2015-04-20
76,378.45,378.45,369.01,372.31,819400.0,749.11,2015-04-21
77,372.5,381.5,370.0,379.8,1027300.0,751.9,2015-04-22
78,382.48,386.08,380.26,383.2,1241000.0,766.01,2015-04-23
79,383.98,389.9,383.98,387.57,1577000.0,772.7149999999999,2015-04-24
80,387.98,388.99,381.9,385.35,1498800.0,772.11,2015-04-27
81,383.02,389.9,378.5,379.31,1149600.0,765.365,2015-04-28
82,379.0,380.75,375.31,375.99,406900.0,755.525,2015-04-29
83,378.5,382.01,377.25,380.85,741800.0,759.305,2015-04-30
84,382.0,385.0,377.1,378.52,844300.0,761.31,2015-05-04
85,379.0,380.0,373.59,378.75,539900.0,755.67,2015-05-05
86,385.0,388.74,383.0,386.29,1214900.0,771.515,2015-05-06
87,385.0,385.99,379.0,384.77,533800.0,767.38,2015-05-07
88,384.5,384.5,379.0,381.18,243500.0,764.59,2015-05-08
89,380.0,380.0,362.13,362.28,1082300.0,742.2049999999999,2015-05-11
90,364.98,371.0,361.06,370.31,354400.0,733.675,2015-05-12
91,371.99,377.0,371.5,372.53,400800.0,746.51,2015-05-13
92,370.01,373.0,368.05,370.07,219400.0,740.5649999999999,2015-05-14
93,369.0,370.38,364.05,366.03,222400.0,734.73,2015-05-15
94,365.0,366.0,361.01,361.97,184000.0,726.99,2015-05-18
95,361.97,364.5,360.21,361.81,278900.0,724.245,2015-05-19
96,361.99,363.7,359.26,360.8,314300.0,722.875,2015-05-20
97,361.5,362.28,360.4,360.97,87600.0,722.5749999999999,2015-05-21
98,364.5,366.0,362.0,363.57,149100.0,728.035,2015-05-22
99,366.0,371.0,366.0,367.2,193700.0,735.1,2015-05-25
100,367.2,368.0,364.2,365.85,105300.0,732.625,2015-05-26
101,365.02,370.0,365.0,369.36,252400.0,734.69,2015-05-27
102,369.5,370.0,366.5,368.2,153200.0,737.1,2015-05-28
103,369.5,372.89,365.0,366.9,1297000.0,737.145,2015-05-29
104,368.94,374.09,368.4,373.51,650400.0,742.4699999999999,2015-06-01
105,375.45,382.09,375.15,381.41,1162200.0,757.05,2015-06-02
106,383.89,384.5,378.12,379.58,878300.0,763.0450000000001,2015-06-03
107,380.0,383.9,378.0,382.15,1003500.0,762.0250000000001,2015-06-04
